ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"167","0.6449640550","114.201","0.028964590192719","0.000","0.019","0.000258","10.575783","0.000000","6.821000","3.071800","0.000","1.981200","3.4429","526952.8301","4752566.5050"
"169","0.3626084510","114.201","0.028783799911939","0.000","0.010","0.000241","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","527679.7913","4752522.0760"
"170","0.2152233590","114.201","0.028862661491102","0.000","0.006","0.000244","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","530163.7665","4752534.7430"
"175","0.7462851250","114.201","0.028970423340797","0.000","0.022","0.000258","14.410846","0.000000","10.754600","3.071800","0.000","2.292440","4.6913","526980.6243","4752510.0310"
"176","2.4303441610","114.201","0.028742339611053","0.000","0.070","0.000252","7.774537","0.000000","18.894800","3.071800","0.000","7.465530","2.5309","527646.0828","4752484.8030"
"180","0.3632954640","114.201","0.034596109370469","3.909","1.433","0.034539","0.000000","2.424200","0.880007","0.000000","19.269","6.995000","0.1258","517481.5154","4752512.2000"
"185","1.9551860120","114.201","0.028863535608564","0.000","0.056","0.000251","7.053344","0.000000","13.790600","3.071800","0.000","6.005940","2.2962","530448.8915","4752397.5550"
"186","1.2230392500","114.201","0.028638731479645","0.000","0.035","0.000251","19.564540","0.000000","23.928200","3.071800","0.000","3.756930","6.3691","527185.1178","4752481.2610"
"188","0.2157356140","114.201","0.029014299173401","0.000","0.006","0.000244","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","530624.1662","4752448.0120"
"189","0.4038971900","114.201","0.029019232988358","0.000","0.012","0.000260","5.789592","0.000000","2.338400","3.071800","0.000","1.240690","1.8848","530640.5780","4752492.0990"
"190","2.5814635960","114.201","0.034881523609161","6.237","16.190","0.054917","0.000000","2.139000","5.517384","0.000000","17.003","43.857000","0.1258","517408.4621","4752391.6030"
"191","0.2248858590","114.201","0.029037289611705","0.000","0.007","0.000273","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","530768.1267","4752504.3440"
"193","0.2599146790","114.201","0.028782149654459","0.000","0.008","0.000270","19.941929","0.000000","5.183200","3.071800","0.000","0.798410","6.4919","528270.5357","4752482.8430"
"194","0.2414518710","114.201","0.028865365888240","0.000","0.007","0.000254","8.044667","0.000000","1.942400","3.071800","0.000","0.741690","2.6189","530330.9402","4752461.1010"
"195","3.6370695360","114.201","0.028748475955083","0.000","0.105","0.000253","13.287731","0.000000","48.328400","3.071800","0.000","11.172350","4.3257","527866.8669","4752362.6920"
"196","3.7914570580","114.201","0.028660422007243","0.000","0.109","0.000252","8.143993","0.000000","30.877600","3.071800","0.000","11.646600","2.6512","527323.5983","4752404.0850"
"198","1.9746618790","114.201","0.028957462991987","0.000","0.057","0.000253","41.065765","0.000000","81.091000","3.071800","0.000","6.065770","13.3686","526744.7253","4752467.5490"
"199","4.7244161990","114.201","0.029136432558298","0.000","0.138","0.000256","8.959160","0.000000","42.326800","3.071800","0.000","14.512460","2.9166","530774.6747","4752286.2220"
"202","0.1625401450","114.201","0.028761178971120","0.000","0.005","0.000269","8.066930","0.000000","1.311200","3.071800","0.000","0.499290","2.6261","528628.0695","4752480.8850"
"206","2.1173436070","114.201","0.028738847573598","0.000","0.061","0.000252","14.763027","0.000000","31.258400","3.071800","0.000","6.504060","4.8060","528590.7256","4752396.8580"
"209","1.5413759560","114.201","0.029112970829010","0.000","0.045","0.000256","35.370086","0.000000","54.518600","3.071800","0.000","4.734800","11.5144","530853.1119","4752390.8220"
"210","0.1970419340","114.201","0.029053055199367","0.000","0.006","0.000267","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","530854.2602","4752451.2900"
"214","0.2148112630","114.201","0.028997933974186","0.000","0.006","0.000245","20.170265","0.000000","4.332800","3.071800","0.000","0.659860","6.5662","526874.8800","4752449.6740"
